"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-09-2018 until 30-09-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/d/r/ne/34","199,295"
"/d/r/sp/303","193,325"
"/d/r/sp/ec","192,582"
"/d/r/sp/130","192,229"
"/tier1/rc/ne/NewsHeadlinessub1","189,504"
"/b/bridge_B2HD","186,428"
"/d/r/sp/82","185,897"
"/tier1/rc/sp/SportFootballNews","183,463"
"/d/r/sp/1e","182,959"
"/d/r/we/HPS","178,848"
"/d/r/sp/33f","174,998"
"/d/r/ne/PN","174,281"
"/d/r/tr/RQ","173,970"
"/d/r/ne/OU","172,919"
"/tier1/rc/ne/NewsHeadlinesTopStory","172,340"
"/d/r/sp/4b","167,257"
"/d/r/we/HPU","166,295"
"/d/r/ne/IPG","166,089"
"/d/r/sp/HKP","165,699"
"/d/r/sp/bd","164,153"
"/tier1/rc/sp/SportFootballScores","164,072"
"/d/r/ne/PI","163,849"
"/tier1/rc/ne/10SimpleStory4","163,382"
"/d/r/ne/PL","162,746"
"/d/r/sp/ed","162,233"
"/d/r/we/HPH","161,822"
"/tier1/rc/ne/10SimpleStory3","158,347"
"/tier1/rc/ne/10SimpleStory8","157,557"
"/tier1/rc/ne/10SimpleStory5","157,330"
"/tier1/rc/ne/10SimpleStory7","155,881"
"/d/r/sp/18b","155,749"
"/tier1/rc/ne/10SimpleStory6","155,602"
"/d/r/sp/f1","155,518"
"/tier1/rc/ne/10SimpleStory2","154,487"
"/d/r/ne/PM","153,329"
"/d/r/sp/304","153,169"
"/d/r/sp/279","150,060"
"/d/r/sp/18c","149,045"
"/tier1/rc/ne/10SimpleStory1","147,094"
"/d/r/sp/1b1","144,566"
"/d/r/en/TN","143,743"
"/d/r/sp/HJR","142,433"
"/d/r/we/HQQ","142,082"
"/d/r/sp/81","141,871"
"/d/r/we/HPV","141,280"
"/d/r/ne/23b","139,952"
"/tier1/rc/ne/10SimpleStory9","139,695"
"/tier1/rc/ne/NewsUK","139,496"
"/d/r/ne/62","139,356"
"/d/r/ne/IJO","138,567"
"/d/r/ne/PO","138,224"
"/d/r/sp/HKU","137,052"
"/d/r/sp/125","136,895"
"/c/tvIp_B2_EN","136,292"
"/d/r/en/145","133,955"
"/d/r/ne/PH","133,362"
"/d/r/we/HQS","133,197"
"/d/r/ne/20e","132,265"
"/d/r/ne/IOU","131,520"
"/d/r/sp/1d5","130,789"
"/d/r/ne/23f","129,659"
"/tier1/rc/sp/98SimpleStory0","128,935"
"/d/r/sp/ee","128,888"
"/d/r/sp/375","128,759"
"/d/r/ne/1c3","126,427"
"/tier1/rc/ne/NewsUKRegions","125,022"
"/d/r/tr/RR","124,955"
"/d/r/en/18e","124,728"
"/d/r/ne/IJN","124,630"
"/d/r/sp/HKQ","121,747"
"/d/r/sp/e9","119,686"
"/d/r/we/HQJ","119,606"
"/d/r/ne/28d","119,215"
"/d/r/ne/32e","119,203"
"/d/r/ne/IJM","118,121"
"/d/r/ne/28e","118,036"
"/d/r/sp/83","118,029"
"/d/r/ne/ae","116,681"
"/d/r/ne/df","116,448"
"/d/r/ne/61","116,246"
"/d/r/ne/60","116,135"
"/d/r/we/HQT","116,101"
"/tv/rc/bridge_BNHD","116,073"
"/d/r/ne/28c","115,125"
"/d/r/ne/de","114,967"
"/d/r/ne/e0","114,647"
"/d/r/sp/ef","114,165"
"/tier1/rc/sp/SportHeadlines","114,035"
"/d/r/ne/23e","114,028"
"/d/r/ne/167","113,109"
"/d/r/we/HQL","112,733"
"/b/bridge_B2_SC","112,315"
"/d/r/sp/18a","111,795"
"/d/r/ne/PJ","111,772"
"/d/r/we/HPT","111,574"
"/d/r/sp/HLO","111,429"
"/d/r/sp/HJG","111,006"
"/d/r/sp/1c5","110,921"
"/d/r/sp/1fa","109,908"
"/d/r/ne/23d","109,352"
"/tv/rc/bridge_B2HD","108,997"
"/tier1/rc/ne/BusinessIndex","108,189"
"/d/r/sp/133","108,055"
"/d/r/ne/IJL","108,033"
