"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-10-2018 until 31-10-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/tier1/rc/sp/SportFootballNews","195,358"
"/d/r/sp/ea","192,455"
"/d/r/sp/82","189,244"
"/b/bridge_B2HD","188,859"
"/d/r/ne/OU","187,561"
"/d/r/tr/RQ","187,055"
"/d/r/en/144","186,966"
"/d/r/sp/1e","186,934"
"/d/r/ne/PN","185,997"
"/d/r/we/HQI","183,584"
"/tier1/rc/ne/10SimpleStory4","182,946"
"/tier1/rc/ne/10SimpleStory3","178,256"
"/d/r/ne/IPG","177,516"
"/d/r/ne/20e","176,417"
"/d/r/ne/PI","175,405"
"/d/r/ne/PL","174,871"
"/d/r/we/HPU","174,857"
"/tier1/rc/ne/10SimpleStory5","174,356"
"/d/r/we/HPS","173,905"
"/d/r/ne/62","173,449"
"/tier1/rc/ne/10SimpleStory6","172,310"
"/tier1/rc/ne/10SimpleStory7","171,133"
"/tier1/rc/ne/10SimpleStory1","170,944"
"/tier1/rc/sp/SportFootballScores","170,384"
"/tier1/rc/ne/10SimpleStory2","169,445"
"/d/r/sp/130","167,981"
"/tier1/rc/ne/10SimpleStory8","167,799"
"/d/r/sp/4b","167,039"
"/d/r/sp/18b","166,938"
"/d/r/ne/PM","163,436"
"/d/r/sp/JT","162,918"
"/d/r/sp/HKP","160,893"
"/d/r/sp/304","160,126"
"/d/r/sp/33f","160,030"
"/d/r/we/HPH","158,290"
"/d/r/sp/HLL","157,103"
"/tier1/rc/ne/NewsUK","156,709"
"/d/r/sp/HKU","156,082"
"/d/r/sp/279","154,301"
"/d/r/sp/18c","153,579"
"/d/r/ne/IJO","152,307"
"/d/r/sp/N","152,243"
"/d/r/en/145","148,986"
"/d/r/ne/PO","147,638"
"/d/r/ne/60","146,380"
"/tier1/rc/ne/10SimpleStory9","145,170"
"/d/r/en/TN","144,326"
"/d/r/ne/61","143,706"
"/d/r/ne/IOU","142,804"
"/d/r/sp/81","142,007"
"/d/r/ne/167","141,537"
